clean,capital,country,country_idx,corrupted,corrupted_capital,corrupted_country,corrupted_country_idx
" Kabul, the capital of",Kabul,Afghanistan,8037," London, the capital of",London,United Kingdom,1578
" Tirana, the capital of",Tirana,Albania,44615," Majuro, the capital of",Majuro,Marshall Islands,13606
" Algiers, the capital of",Algiers,Algeria,36498," Funafuti, the capital of",Funafuti,Tuvalu,16749
" Andorra la Vella, the capital of",Andorra la Vella,Andorra,843," Bandar Seri Begawan, the capital of",Bandar Seri Begawan,Brunei,46070
" Luanda, the capital of",Luanda,Angola,48968," Kuwait City, the capital of",Kuwait City,Kuwait,27028
" Saint John's, the capital of",Saint John's,Antigua and Barbuda,3738," Lusaka, the capital of",Lusaka,Zambia,44418
" Buenos Aires, the capital of",Buenos Aires,Argentina,16519," Taipei, the capital of",Taipei,Taiwan,14119
" Yerevan, the capital of",Yerevan,Armenia,32369," Maseru, the capital of",Maseru,Lesotho,11732
" Canberra, the capital of",Canberra,Australia,4505," Ankara, the capital of",Ankara,Turkey,7137
" Vienna, the capital of",Vienna,Austria,17322," Pyongyang, the capital of",Pyongyang,North Korea,2258
" Baku, the capital of",Baku,Azerbaijan,33605," San Salvador, the capital of",San Salvador,El Salvador,2574
" Nassau, the capital of",Nassau,Bahamas,45726," Rabat, the capital of",Rabat,Morocco,29638
" Manama, the capital of",Manama,Bahrain,29066," Muscat, the capital of",Muscat,Oman,41782
" Dhaka, the capital of",Dhaka,Bangladesh,19483," Mexico City, the capital of",Mexico City,Mexico,5828
" Bridgetown, the capital of",Bridgetown,Barbados,10593," Vilnius, the capital of",Vilnius,Lithuania,31295
" Minsk, the capital of",Minsk,Belarus,33368," Mexico City, the capital of",Mexico City,Mexico,5828
" Brussels, the capital of",Brussels,Belgium,15664," Kabul, the capital of",Kabul,Afghanistan,8037
" Belmopan, the capital of",Belmopan,Belize,3944," Mogadishu, the capital of",Mogadishu,Somalia,23918
" Porto Novo, the capital of",Porto Novo,Benin,3932," Reykjavik, the capital of",Reykjavik,Iceland,17333
" Thimphu, the capital of",Thimphu,Bhutan,16581," Reykjavik, the capital of",Reykjavik,Iceland,17333
" La Paz, the capital of",La Paz,Bolivia,38496," Vaduz, the capital of",Vaduz,Liechtenstein,12060
" Sarajevo, the capital of",Sarajevo,Bosnia and Herzegovina,34292," Khartoum, the capital of",Khartoum,Sudan,19610
" Gaborone, the capital of",Gaborone,Botswana,40946," Skopje, the capital of",Skopje,North Macedonia,2258
" Brasilia, the capital of",Brasilia,Brazil,7595," Malabo, the capital of",Malabo,Equatorial Guinea,7889
" Bandar Seri Begawan, the capital of",Bandar Seri Begawan,Brunei,46070," Ljubljana, the capital of",Ljubljana,Slovenia,37562
" Sofia, the capital of",Sofia,Bulgaria,27902," Kingstown, the capital of",Kingstown,Saint Vincent and the Grenadines,9281
" Ouagadougou, the capital of",Ouagadougou,Burkina Faso,37940," Tegucigalpa, the capital of",Tegucigalpa,Honduras,32982
" Gitega, the capital of",Gitega,Burundi,5481," Port Vila, the capital of",Port Vila,Vanuatu,6656
" Phnom Penh, the capital of",Phnom Penh,Cambodia,31057," Dushanbe, the capital of",Dushanbe,Tajikistan,32490
" Yaounde, the capital of",Yaounde,Cameroon,44568," Nairobi, the capital of",Nairobi,Kenya,21506
" Ottawa, the capital of",Ottawa,Canada,3340," Brussels, the capital of",Brussels,Belgium,15664
" Praia, the capital of",Praia,Cape Verde,15725," Malabo, the capital of",Malabo,Equatorial Guinea,7889
" Bangui, the capital of",Bangui,Central African Republic,5694," Maseru, the capital of",Maseru,Lesotho,11732
" N'Djamena, the capital of",N'Djamena,Chad,19800," Yamoussoukro, the capital of",Yamoussoukro,Côte d'Ivoire,327
" Santiago, the capital of",Santiago,Chile,17456," Tripoli, the capital of",Tripoli,Libya,13465
" Beijing, the capital of",Beijing,China,2807," Luxembourg, the capital of",Luxembourg,Luxembourg,31864
" Bogota, the capital of",Bogota,Colombia,21291," Moroni, the capital of",Moroni,Comoros,955
" Moroni, the capital of",Moroni,Comoros,955," Tallinn, the capital of",Tallinn,Estonia,30912
" Kinshasa, the capital of",Kinshasa,Democratic Republic of the Congo,4390," Addis Ababa, the capital of",Addis Ababa,Ethiopia,31592
" Brazzaville, the capital of",Brazzaville,Congo,25935," Reykjavik, the capital of",Reykjavik,Iceland,17333
" San Jose, the capital of",San Jose,Costa Rica,18133," Doha, the capital of",Doha,Qatar,18286
