clean,corrupted,correct_idx
The price of that suitcase ranges from $ 1477 to $ 14,The price of that suitcase ranges from $ 1401 to $ 14,77
The price of that fridge ranges from $ 1643 to $ 16,The price of that fridge ranges from $ 1601 to $ 16,43
The price of that painting ranges from $ 1450 to $ 14,The price of that painting ranges from $ 1401 to $ 14,50
The price of that sweater ranges from $ 1138 to $ 11,The price of that sweater ranges from $ 1101 to $ 11,38
The price of that suit ranges from $ 1230 to $ 12,The price of that suit ranges from $ 1201 to $ 12,30
The price of that plant ranges from $ 1112 to $ 11,The price of that plant ranges from $ 1101 to $ 11,12
The price of that lamp ranges from $ 1457 to $ 14,The price of that lamp ranges from $ 1401 to $ 14,57
The price of that shirt ranges from $ 1520 to $ 15,The price of that shirt ranges from $ 1501 to $ 15,20
The price of that gem ranges from $ 1163 to $ 11,The price of that gem ranges from $ 1101 to $ 11,63
The price of that TV ranges from $ 1704 to $ 17,The price of that TV ranges from $ 1701 to $ 17,4
The price of that scarf ranges from $ 1433 to $ 14,The price of that scarf ranges from $ 1401 to $ 14,33
The price of that bed ranges from $ 1523 to $ 15,The price of that bed ranges from $ 1501 to $ 15,23
The price of that shirt ranges from $ 1269 to $ 12,The price of that shirt ranges from $ 1201 to $ 12,69
The price of that plant ranges from $ 1546 to $ 15,The price of that plant ranges from $ 1501 to $ 15,46
The price of that sculpture ranges from $ 1466 to $ 14,The price of that sculpture ranges from $ 1401 to $ 14,66
The price of that lamp ranges from $ 1173 to $ 11,The price of that lamp ranges from $ 1101 to $ 11,73
The price of that fridge ranges from $ 1731 to $ 17,The price of that fridge ranges from $ 1701 to $ 17,31
The price of that suitcase ranges from $ 1352 to $ 13,The price of that suitcase ranges from $ 1301 to $ 13,52
The price of that necklace ranges from $ 1780 to $ 17,The price of that necklace ranges from $ 1701 to $ 17,80
The price of that scarf ranges from $ 1792 to $ 17,The price of that scarf ranges from $ 1701 to $ 17,92
The price of that plant ranges from $ 1725 to $ 17,The price of that plant ranges from $ 1701 to $ 17,25
The price of that sweater ranges from $ 1705 to $ 17,The price of that sweater ranges from $ 1701 to $ 17,5
The price of that lamp ranges from $ 1714 to $ 17,The price of that lamp ranges from $ 1701 to $ 17,14
The price of that dress ranges from $ 1464 to $ 14,The price of that dress ranges from $ 1401 to $ 14,64
The price of that fridge ranges from $ 1516 to $ 15,The price of that fridge ranges from $ 1501 to $ 15,16
The price of that dress ranges from $ 1343 to $ 13,The price of that dress ranges from $ 1301 to $ 13,43
The price of that suit ranges from $ 1718 to $ 17,The price of that suit ranges from $ 1701 to $ 17,18
The price of that gem ranges from $ 1417 to $ 14,The price of that gem ranges from $ 1401 to $ 14,17
The price of that plant ranges from $ 1585 to $ 15,The price of that plant ranges from $ 1501 to $ 15,85
The price of that shirt ranges from $ 1516 to $ 15,The price of that shirt ranges from $ 1501 to $ 15,16
The price of that gem ranges from $ 1637 to $ 16,The price of that gem ranges from $ 1601 to $ 16,37
The price of that gem ranges from $ 1224 to $ 12,The price of that gem ranges from $ 1201 to $ 12,24
The price of that chair ranges from $ 1227 to $ 12,The price of that chair ranges from $ 1201 to $ 12,27
The price of that necklace ranges from $ 1422 to $ 14,The price of that necklace ranges from $ 1401 to $ 14,22
The price of that TV ranges from $ 1513 to $ 15,The price of that TV ranges from $ 1501 to $ 15,13
The price of that gem ranges from $ 1553 to $ 15,The price of that gem ranges from $ 1501 to $ 15,53
The price of that TV ranges from $ 1539 to $ 15,The price of that TV ranges from $ 1501 to $ 15,39
The price of that necklace ranges from $ 1451 to $ 14,The price of that necklace ranges from $ 1401 to $ 14,51
The price of that fridge ranges from $ 1348 to $ 13,The price of that fridge ranges from $ 1301 to $ 13,48
The price of that scarf ranges from $ 1531 to $ 15,The price of that scarf ranges from $ 1501 to $ 15,31
The price of that necklace ranges from $ 1224 to $ 12,The price of that necklace ranges from $ 1201 to $ 12,24
The price of that dress ranges from $ 1544 to $ 15,The price of that dress ranges from $ 1501 to $ 15,44
The price of that shirt ranges from $ 1417 to $ 14,The price of that shirt ranges from $ 1401 to $ 14,17
The price of that plant ranges from $ 1546 to $ 15,The price of that plant ranges from $ 1501 to $ 15,46
The price of that shirt ranges from $ 1140 to $ 11,The price of that shirt ranges from $ 1101 to $ 11,40
The price of that gem ranges from $ 1692 to $ 16,The price of that gem ranges from $ 1601 to $ 16,92
The price of that fridge ranges from $ 1681 to $ 16,The price of that fridge ranges from $ 1601 to $ 16,81
The price of that lamp ranges from $ 1698 to $ 16,The price of that lamp ranges from $ 1601 to $ 16,98
The price of that lamp ranges from $ 1186 to $ 11,The price of that lamp ranges from $ 1101 to $ 11,86
The price of that dress ranges from $ 1350 to $ 13,The price of that dress ranges from $ 1301 to $ 13,50
The price of that watch ranges from $ 1163 to $ 11,The price of that watch ranges from $ 1101 to $ 11,63
The price of that shirt ranges from $ 1357 to $ 13,The price of that shirt ranges from $ 1301 to $ 13,57
The price of that TV ranges from $ 1725 to $ 17,The price of that TV ranges from $ 1701 to $ 17,25
The price of that gem ranges from $ 1610 to $ 16,The price of that gem ranges from $ 1601 to $ 16,10
The price of that chair ranges from $ 1460 to $ 14,The price of that chair ranges from $ 1401 to $ 14,60
The price of that bike ranges from $ 1642 to $ 16,The price of that bike ranges from $ 1601 to $ 16,42
The price of that lamp ranges from $ 1565 to $ 15,The price of that lamp ranges from $ 1501 to $ 15,65
The price of that gem ranges from $ 1761 to $ 17,The price of that gem ranges from $ 1701 to $ 17,61
The price of that TV ranges from $ 1321 to $ 13,The price of that TV ranges from $ 1301 to $ 13,21
The price of that gem ranges from $ 1285 to $ 12,The price of that gem ranges from $ 1201 to $ 12,85
The price of that shirt ranges from $ 1608 to $ 16,The price of that shirt ranges from $ 1601 to $ 16,8
The price of that table ranges from $ 1457 to $ 14,The price of that table ranges from $ 1401 to $ 14,57
The price of that lamp ranges from $ 1607 to $ 16,The price of that lamp ranges from $ 1601 to $ 16,7
The price of that gem ranges from $ 1711 to $ 17,The price of that gem ranges from $ 1701 to $ 17,11
The price of that watch ranges from $ 1202 to $ 12,The price of that watch ranges from $ 1201 to $ 12,2
