clean,corrupted,correct_idx
The contract lasted from the year 1755 to the year 17,The contract lasted from the year 1701 to the year 17,55
The fall lasted from the year 1350 to the year 13,The fall lasted from the year 1301 to the year 13,50
The challenge lasted from the year 1360 to the year 13,The challenge lasted from the year 1301 to the year 13,60
The growth lasted from the year 1559 to the year 15,The growth lasted from the year 1501 to the year 15,59
The fall lasted from the year 1738 to the year 17,The fall lasted from the year 1701 to the year 17,38
The attack lasted from the year 1463 to the year 14,The attack lasted from the year 1401 to the year 14,63
The construction lasted from the year 1679 to the year 16,The construction lasted from the year 1601 to the year 16,79
The impact lasted from the year 1421 to the year 14,The impact lasted from the year 1401 to the year 14,21
The rule lasted from the year 1794 to the year 17,The rule lasted from the year 1701 to the year 17,94
The riot lasted from the year 1543 to the year 15,The riot lasted from the year 1501 to the year 15,43
The study lasted from the year 1723 to the year 17,The study lasted from the year 1701 to the year 17,23
The rise lasted from the year 1220 to the year 12,The rise lasted from the year 1201 to the year 12,20
The progress lasted from the year 1621 to the year 16,The progress lasted from the year 1601 to the year 16,21
The campaign lasted from the year 1320 to the year 13,The campaign lasted from the year 1301 to the year 13,20
The accord lasted from the year 1637 to the year 16,The accord lasted from the year 1601 to the year 16,37
The process lasted from the year 1518 to the year 15,The process lasted from the year 1501 to the year 15,18
The exchange lasted from the year 1751 to the year 17,The exchange lasted from the year 1701 to the year 17,51
The growth lasted from the year 1110 to the year 11,The growth lasted from the year 1101 to the year 11,10
The contract lasted from the year 1277 to the year 12,The contract lasted from the year 1201 to the year 12,77
The reign lasted from the year 1615 to the year 16,The reign lasted from the year 1601 to the year 16,15
The trip lasted from the year 1283 to the year 12,The trip lasted from the year 1201 to the year 12,83
The contract lasted from the year 1790 to the year 17,The contract lasted from the year 1701 to the year 17,90
The rise lasted from the year 1270 to the year 12,The rise lasted from the year 1201 to the year 12,70
The trip lasted from the year 1484 to the year 14,The trip lasted from the year 1401 to the year 14,84
The effect lasted from the year 1523 to the year 15,The effect lasted from the year 1501 to the year 15,23
The deal lasted from the year 1695 to the year 16,The deal lasted from the year 1601 to the year 16,95
The campaign lasted from the year 1473 to the year 14,The campaign lasted from the year 1401 to the year 14,73
The construction lasted from the year 1488 to the year 14,The construction lasted from the year 1401 to the year 14,88
The deal lasted from the year 1703 to the year 17,The deal lasted from the year 1701 to the year 17,3
The existence lasted from the year 1224 to the year 12,The existence lasted from the year 1201 to the year 12,24
The contract lasted from the year 1211 to the year 12,The contract lasted from the year 1201 to the year 12,11
The process lasted from the year 1792 to the year 17,The process lasted from the year 1701 to the year 17,92
The contract lasted from the year 1684 to the year 16,The contract lasted from the year 1601 to the year 16,84
The coma lasted from the year 1231 to the year 12,The coma lasted from the year 1201 to the year 12,31
The relationship lasted from the year 1454 to the year 14,The relationship lasted from the year 1401 to the year 14,54
The tests lasted from the year 1420 to the year 14,The tests lasted from the year 1401 to the year 14,20
The work lasted from the year 1706 to the year 17,The work lasted from the year 1701 to the year 17,6
The deal lasted from the year 1278 to the year 12,The deal lasted from the year 1201 to the year 12,78
The challenge lasted from the year 1578 to the year 15,The challenge lasted from the year 1501 to the year 15,78
The project lasted from the year 1422 to the year 14,The project lasted from the year 1401 to the year 14,22
The attack lasted from the year 1519 to the year 15,The attack lasted from the year 1501 to the year 15,19
The deal lasted from the year 1552 to the year 15,The deal lasted from the year 1501 to the year 15,52
The exchange lasted from the year 1241 to the year 12,The exchange lasted from the year 1201 to the year 12,41
The trial lasted from the year 1249 to the year 12,The trial lasted from the year 1201 to the year 12,49
The progress lasted from the year 1761 to the year 17,The progress lasted from the year 1701 to the year 17,61
The practice lasted from the year 1246 to the year 12,The practice lasted from the year 1201 to the year 12,46
The accord lasted from the year 1528 to the year 15,The accord lasted from the year 1501 to the year 15,28
The development lasted from the year 1705 to the year 17,The development lasted from the year 1701 to the year 17,5
The process lasted from the year 1232 to the year 12,The process lasted from the year 1201 to the year 12,32
The riot lasted from the year 1523 to the year 15,The riot lasted from the year 1501 to the year 15,23
The deal lasted from the year 1470 to the year 14,The deal lasted from the year 1401 to the year 14,70
The project lasted from the year 1717 to the year 17,The project lasted from the year 1701 to the year 17,17
The trial lasted from the year 1444 to the year 14,The trial lasted from the year 1401 to the year 14,44
The contact lasted from the year 1757 to the year 17,The contact lasted from the year 1701 to the year 17,57
The reign lasted from the year 1571 to the year 15,The reign lasted from the year 1501 to the year 15,71
The growth lasted from the year 1315 to the year 13,The growth lasted from the year 1301 to the year 13,15
The contact lasted from the year 1274 to the year 12,The contact lasted from the year 1201 to the year 12,74
The tests lasted from the year 1633 to the year 16,The tests lasted from the year 1601 to the year 16,33
The fall lasted from the year 1724 to the year 17,The fall lasted from the year 1701 to the year 17,24
The development lasted from the year 1796 to the year 17,The development lasted from the year 1701 to the year 17,96
The deal lasted from the year 1213 to the year 12,The deal lasted from the year 1201 to the year 12,13
The existence lasted from the year 1783 to the year 17,The existence lasted from the year 1701 to the year 17,83
The development lasted from the year 1211 to the year 12,The development lasted from the year 1201 to the year 12,11
The practice lasted from the year 1489 to the year 14,The practice lasted from the year 1401 to the year 14,89
The riot lasted from the year 1703 to the year 17,The riot lasted from the year 1701 to the year 17,3
The test lasted from the year 1703 to the year 17,The test lasted from the year 1701 to the year 17,3
The accord lasted from the year 1558 to the year 15,The accord lasted from the year 1501 to the year 15,58
The project lasted from the year 1684 to the year 16,The project lasted from the year 1601 to the year 16,84
The campaign lasted from the year 1688 to the year 16,The campaign lasted from the year 1601 to the year 16,88
The exchange lasted from the year 1683 to the year 16,The exchange lasted from the year 1601 to the year 16,83
The trial lasted from the year 1269 to the year 12,The trial lasted from the year 1201 to the year 12,69
The shift lasted from the year 1708 to the year 17,The shift lasted from the year 1701 to the year 17,8
