sentence,label,group,source
The authors the guards like,1,ML,obj_rel_no_comp_across_anim_all
The authors the guards admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the guards hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the guards love,1,ML,obj_rel_no_comp_across_anim_all
The authors the chefs like,1,ML,obj_rel_no_comp_across_anim_all
The authors the chefs admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the chefs hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the chefs love,1,ML,obj_rel_no_comp_across_anim_all
The authors the architects like,1,ML,obj_rel_no_comp_across_anim_all
The authors the architects admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the architects hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the architects love,1,ML,obj_rel_no_comp_across_anim_all
The authors the skaters like,1,ML,obj_rel_no_comp_across_anim_all
The authors the skaters admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the skaters hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the skaters love,1,ML,obj_rel_no_comp_across_anim_all
The authors the dancers like,1,ML,obj_rel_no_comp_across_anim_all
The authors the dancers admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the dancers hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the dancers love,1,ML,obj_rel_no_comp_across_anim_all
The authors the ministers like,1,ML,obj_rel_no_comp_across_anim_all
The authors the ministers admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the ministers hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the ministers love,1,ML,obj_rel_no_comp_across_anim_all
The authors the taxi drivers like,1,ML,obj_rel_no_comp_across_anim_all
The authors the taxi drivers admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the taxi drivers hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the taxi drivers love,1,ML,obj_rel_no_comp_across_anim_all
The authors the assistants like,1,ML,obj_rel_no_comp_across_anim_all
The authors the assistants admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the assistants hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the assistants love,1,ML,obj_rel_no_comp_across_anim_all
The authors the executives like,1,ML,obj_rel_no_comp_across_anim_all
The authors the executives admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the executives hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the executives love,1,ML,obj_rel_no_comp_across_anim_all
The authors the parents like,1,ML,obj_rel_no_comp_across_anim_all
The authors the parents admire,1,ML,obj_rel_no_comp_across_anim_all
The authors the parents hate,1,ML,obj_rel_no_comp_across_anim_all
The authors the parents love,1,ML,obj_rel_no_comp_across_anim_all
The pilots the guards like,1,ML,obj_rel_no_comp_across_anim_all
The pilots the guards admire,1,ML,obj_rel_no_comp_across_anim_all
The pilots the guards hate,1,ML,obj_rel_no_comp_across_anim_all
The pilots the guards love,1,ML,obj_rel_no_comp_across_anim_all
The pilots the chefs like,1,ML,obj_rel_no_comp_across_anim_all
The pilots the chefs admire,1,ML,obj_rel_no_comp_across_anim_all
The pilots the chefs hate,1,ML,obj_rel_no_comp_across_anim_all
The pilots the chefs love,1,ML,obj_rel_no_comp_across_anim_all
The pilots the architects like,1,ML,obj_rel_no_comp_across_anim_all
The pilots the architects admire,1,ML,obj_rel_no_comp_across_anim_all
The pilots the architects hate,1,ML,obj_rel_no_comp_across_anim_all
The pilots the architects love,1,ML,obj_rel_no_comp_across_anim_all
The pilots the skaters like,1,ML,obj_rel_no_comp_across_anim_all
The pilots the skaters admire,1,ML,obj_rel_no_comp_across_anim_all
The pilots the skaters hate,1,ML,obj_rel_no_comp_across_anim_all
The pilots the skaters love,1,ML,obj_rel_no_comp_across_anim_all
The pilots the dancers like,1,ML,obj_rel_no_comp_across_anim_all
The pilots the dancers admire,1,ML,obj_rel_no_comp_across_anim_all
The pilots the dancers hate,1,ML,obj_rel_no_comp_across_anim_all
The pilots the dancers love,1,ML,obj_rel_no_comp_across_anim_all
The pilots the ministers like,1,ML,obj_rel_no_comp_across_anim_all
The pilots the ministers admire,1,ML,obj_rel_no_comp_across_anim_all
The pilots the ministers hate,1,ML,obj_rel_no_comp_across_anim_all
The pilots the ministers love,1,ML,obj_rel_no_comp_across_anim_all
The pilots the taxi drivers like,1,ML,obj_rel_no_comp_across_anim_all
The pilots the taxi drivers admire,1,ML,obj_rel_no_comp_across_anim_all
The pilots the taxi drivers hate,1,ML,obj_rel_no_comp_across_anim_all
The pilots the taxi drivers love,1,ML,obj_rel_no_comp_across_anim_all
The pilots the assistants like,1,ML,obj_rel_no_comp_across_anim_all
The pilots the assistants admire,1,ML,obj_rel_no_comp_across_anim_all
The pilots the assistants hate,1,ML,obj_rel_no_comp_across_anim_all
The pilots the assistants love,1,ML,obj_rel_no_comp_across_anim_all
The pilots the executives like,1,ML,obj_rel_no_comp_across_anim_all
