sentence,label,group,source
The movies the guards like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the guards admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the guards hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the guards love,1,ML,obj_rel_no_comp_across_inanim_all
The movies the chefs like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the chefs admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the chefs hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the chefs love,1,ML,obj_rel_no_comp_across_inanim_all
The movies the architects like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the architects admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the architects hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the architects love,1,ML,obj_rel_no_comp_across_inanim_all
The movies the skaters like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the skaters admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the skaters hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the skaters love,1,ML,obj_rel_no_comp_across_inanim_all
The movies the dancers like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the dancers admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the dancers hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the dancers love,1,ML,obj_rel_no_comp_across_inanim_all
The movies the ministers like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the ministers admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the ministers hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the ministers love,1,ML,obj_rel_no_comp_across_inanim_all
The movies the taxi drivers like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the taxi drivers admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the taxi drivers hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the taxi drivers love,1,ML,obj_rel_no_comp_across_inanim_all
The movies the assistants like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the assistants admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the assistants hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the assistants love,1,ML,obj_rel_no_comp_across_inanim_all
The movies the executives like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the executives admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the executives hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the executives love,1,ML,obj_rel_no_comp_across_inanim_all
The movies the parents like,1,ML,obj_rel_no_comp_across_inanim_all
The movies the parents admire,1,ML,obj_rel_no_comp_across_inanim_all
The movies the parents hate,1,ML,obj_rel_no_comp_across_inanim_all
The movies the parents love,1,ML,obj_rel_no_comp_across_inanim_all
The books the guards like,1,ML,obj_rel_no_comp_across_inanim_all
The books the guards admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the guards hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the guards love,1,ML,obj_rel_no_comp_across_inanim_all
The books the chefs like,1,ML,obj_rel_no_comp_across_inanim_all
The books the chefs admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the chefs hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the chefs love,1,ML,obj_rel_no_comp_across_inanim_all
The books the architects like,1,ML,obj_rel_no_comp_across_inanim_all
The books the architects admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the architects hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the architects love,1,ML,obj_rel_no_comp_across_inanim_all
The books the skaters like,1,ML,obj_rel_no_comp_across_inanim_all
The books the skaters admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the skaters hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the skaters love,1,ML,obj_rel_no_comp_across_inanim_all
The books the dancers like,1,ML,obj_rel_no_comp_across_inanim_all
The books the dancers admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the dancers hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the dancers love,1,ML,obj_rel_no_comp_across_inanim_all
The books the ministers like,1,ML,obj_rel_no_comp_across_inanim_all
The books the ministers admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the ministers hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the ministers love,1,ML,obj_rel_no_comp_across_inanim_all
The books the taxi drivers like,1,ML,obj_rel_no_comp_across_inanim_all
The books the taxi drivers admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the taxi drivers hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the taxi drivers love,1,ML,obj_rel_no_comp_across_inanim_all
The books the assistants like,1,ML,obj_rel_no_comp_across_inanim_all
The books the assistants admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the assistants hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the assistants love,1,ML,obj_rel_no_comp_across_inanim_all
The books the executives like,1,ML,obj_rel_no_comp_across_inanim_all
The books the executives admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the executives hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the executives love,1,ML,obj_rel_no_comp_across_inanim_all
The books the parents like,1,ML,obj_rel_no_comp_across_inanim_all
The books the parents admire,1,ML,obj_rel_no_comp_across_inanim_all
The books the parents hate,1,ML,obj_rel_no_comp_across_inanim_all
The books the parents love,1,ML,obj_rel_no_comp_across_inanim_all
The games the guards like,1,ML,obj_rel_no_comp_across_inanim_all
The games the guards admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the guards hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the guards love,1,ML,obj_rel_no_comp_across_inanim_all
The games the chefs like,1,ML,obj_rel_no_comp_across_inanim_all
The games the chefs admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the chefs hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the chefs love,1,ML,obj_rel_no_comp_across_inanim_all
The games the architects like,1,ML,obj_rel_no_comp_across_inanim_all
The games the architects admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the architects hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the architects love,1,ML,obj_rel_no_comp_across_inanim_all
The games the skaters like,1,ML,obj_rel_no_comp_across_inanim_all
The games the skaters admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the skaters hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the skaters love,1,ML,obj_rel_no_comp_across_inanim_all
The games the dancers like,1,ML,obj_rel_no_comp_across_inanim_all
The games the dancers admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the dancers hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the dancers love,1,ML,obj_rel_no_comp_across_inanim_all
The games the ministers like,1,ML,obj_rel_no_comp_across_inanim_all
The games the ministers admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the ministers hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the ministers love,1,ML,obj_rel_no_comp_across_inanim_all
The games the taxi drivers like,1,ML,obj_rel_no_comp_across_inanim_all
The games the taxi drivers admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the taxi drivers hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the taxi drivers love,1,ML,obj_rel_no_comp_across_inanim_all
The games the assistants like,1,ML,obj_rel_no_comp_across_inanim_all
The games the assistants admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the assistants hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the assistants love,1,ML,obj_rel_no_comp_across_inanim_all
The games the executives like,1,ML,obj_rel_no_comp_across_inanim_all
The games the executives admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the executives hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the executives love,1,ML,obj_rel_no_comp_across_inanim_all
The games the parents like,1,ML,obj_rel_no_comp_across_inanim_all
The games the parents admire,1,ML,obj_rel_no_comp_across_inanim_all
The games the parents hate,1,ML,obj_rel_no_comp_across_inanim_all
The games the parents love,1,ML,obj_rel_no_comp_across_inanim_all
The songs the guards like,1,ML,obj_rel_no_comp_across_inanim_all
The songs the guards admire,1,ML,obj_rel_no_comp_across_inanim_all
The songs the guards hate,1,ML,obj_rel_no_comp_across_inanim_all
The songs the guards love,1,ML,obj_rel_no_comp_across_inanim_all
The songs the chefs like,1,ML,obj_rel_no_comp_across_inanim_all
The songs the chefs admire,1,ML,obj_rel_no_comp_across_inanim_all
The songs the chefs hate,1,ML,obj_rel_no_comp_across_inanim_all
The songs the chefs love,1,ML,obj_rel_no_comp_across_inanim_all
The songs the architects like,1,ML,obj_rel_no_comp_across_inanim_all
The songs the architects admire,1,ML,obj_rel_no_comp_across_inanim_all
The songs the architects hate,1,ML,obj_rel_no_comp_across_inanim_all
The songs the architects love,1,ML,obj_rel_no_comp_across_inanim_all
The songs the skaters like,1,ML,obj_rel_no_comp_across_inanim_all
The songs the skaters admire,1,ML,obj_rel_no_comp_across_inanim_all
The songs the skaters hate,1,ML,obj_rel_no_comp_across_inanim_all
The songs the skaters love,1,ML,obj_rel_no_comp_across_inanim_all
The songs the dancers like,1,ML,obj_rel_no_comp_across_inanim_all
The songs the dancers admire,1,ML,obj_rel_no_comp_across_inanim_all
The songs the dancers hate,1,ML,obj_rel_no_comp_across_inanim_all
The songs the dancers love,1,ML,obj_rel_no_comp_across_inanim_all
