sentence,label,group,source
The movies from the guards,1,ML,prep_inanim_all
The movies from the chefs,1,ML,prep_inanim_all
The movies from the architects,1,ML,prep_inanim_all
The movies from the skaters,1,ML,prep_inanim_all
The movies from the dancers,1,ML,prep_inanim_all
The movies from the ministers,1,ML,prep_inanim_all
The movies from the taxi drivers,1,ML,prep_inanim_all
The movies from the assistants,1,ML,prep_inanim_all
The movies from the executives,1,ML,prep_inanim_all
The movies from the parents,1,ML,prep_inanim_all
The movies by the guards,1,ML,prep_inanim_all
The movies by the chefs,1,ML,prep_inanim_all
The movies by the architects,1,ML,prep_inanim_all
The movies by the skaters,1,ML,prep_inanim_all
The movies by the dancers,1,ML,prep_inanim_all
The movies by the ministers,1,ML,prep_inanim_all
The movies by the taxi drivers,1,ML,prep_inanim_all
The movies by the assistants,1,ML,prep_inanim_all
The movies by the executives,1,ML,prep_inanim_all
The movies by the parents,1,ML,prep_inanim_all
The books from the guards,1,ML,prep_inanim_all
The books from the chefs,1,ML,prep_inanim_all
The books from the architects,1,ML,prep_inanim_all
The books from the skaters,1,ML,prep_inanim_all
The books from the dancers,1,ML,prep_inanim_all
The books from the ministers,1,ML,prep_inanim_all
The books from the taxi drivers,1,ML,prep_inanim_all
The books from the assistants,1,ML,prep_inanim_all
The books from the executives,1,ML,prep_inanim_all
The books from the parents,1,ML,prep_inanim_all
The books by the guards,1,ML,prep_inanim_all
The books by the chefs,1,ML,prep_inanim_all
The books by the architects,1,ML,prep_inanim_all
The books by the skaters,1,ML,prep_inanim_all
The books by the dancers,1,ML,prep_inanim_all
The books by the ministers,1,ML,prep_inanim_all
The books by the taxi drivers,1,ML,prep_inanim_all
The books by the assistants,1,ML,prep_inanim_all
The books by the executives,1,ML,prep_inanim_all
The books by the parents,1,ML,prep_inanim_all
The games from the guards,1,ML,prep_inanim_all
The games from the chefs,1,ML,prep_inanim_all
The games from the architects,1,ML,prep_inanim_all
The games from the skaters,1,ML,prep_inanim_all
The games from the dancers,1,ML,prep_inanim_all
The games from the ministers,1,ML,prep_inanim_all
The games from the taxi drivers,1,ML,prep_inanim_all
The games from the assistants,1,ML,prep_inanim_all
The games from the executives,1,ML,prep_inanim_all
The games from the parents,1,ML,prep_inanim_all
The games by the guards,1,ML,prep_inanim_all
The games by the chefs,1,ML,prep_inanim_all
The games by the architects,1,ML,prep_inanim_all
The games by the skaters,1,ML,prep_inanim_all
The games by the dancers,1,ML,prep_inanim_all
The games by the ministers,1,ML,prep_inanim_all
The games by the taxi drivers,1,ML,prep_inanim_all
The games by the assistants,1,ML,prep_inanim_all
The games by the executives,1,ML,prep_inanim_all
The games by the parents,1,ML,prep_inanim_all
The songs from the guards,1,ML,prep_inanim_all
The songs from the chefs,1,ML,prep_inanim_all
The songs from the architects,1,ML,prep_inanim_all
The songs from the skaters,1,ML,prep_inanim_all
The songs from the dancers,1,ML,prep_inanim_all
The songs from the ministers,1,ML,prep_inanim_all
The songs from the taxi drivers,1,ML,prep_inanim_all
The songs from the assistants,1,ML,prep_inanim_all
The songs from the executives,1,ML,prep_inanim_all
The songs from the parents,1,ML,prep_inanim_all
The songs by the guards,1,ML,prep_inanim_all
The songs by the chefs,1,ML,prep_inanim_all
The songs by the architects,1,ML,prep_inanim_all
The songs by the skaters,1,ML,prep_inanim_all
The songs by the dancers,1,ML,prep_inanim_all
The songs by the ministers,1,ML,prep_inanim_all
The songs by the taxi drivers,1,ML,prep_inanim_all
The songs by the assistants,1,ML,prep_inanim_all
The songs by the executives,1,ML,prep_inanim_all
The songs by the parents,1,ML,prep_inanim_all
The pictures from the guards,1,ML,prep_inanim_all
The pictures from the chefs,1,ML,prep_inanim_all
The pictures from the architects,1,ML,prep_inanim_all
The pictures from the skaters,1,ML,prep_inanim_all
The pictures from the dancers,1,ML,prep_inanim_all
The pictures from the ministers,1,ML,prep_inanim_all
The pictures from the taxi drivers,1,ML,prep_inanim_all
The pictures from the assistants,1,ML,prep_inanim_all
The pictures from the executives,1,ML,prep_inanim_all
The pictures from the parents,1,ML,prep_inanim_all
The pictures by the guards,1,ML,prep_inanim_all
The pictures by the chefs,1,ML,prep_inanim_all
The pictures by the architects,1,ML,prep_inanim_all
The pictures by the skaters,1,ML,prep_inanim_all
The pictures by the dancers,1,ML,prep_inanim_all
The pictures by the ministers,1,ML,prep_inanim_all
The pictures by the taxi drivers,1,ML,prep_inanim_all
The pictures by the assistants,1,ML,prep_inanim_all
The pictures by the executives,1,ML,prep_inanim_all
The pictures by the parents,1,ML,prep_inanim_all
The paintings from the guards,1,ML,prep_inanim_all
The paintings from the chefs,1,ML,prep_inanim_all
The paintings from the architects,1,ML,prep_inanim_all
The paintings from the skaters,1,ML,prep_inanim_all
The paintings from the dancers,1,ML,prep_inanim_all
The paintings from the ministers,1,ML,prep_inanim_all
The paintings from the taxi drivers,1,ML,prep_inanim_all
The paintings from the assistants,1,ML,prep_inanim_all
The paintings from the executives,1,ML,prep_inanim_all
The paintings from the parents,1,ML,prep_inanim_all
The paintings by the guards,1,ML,prep_inanim_all
The paintings by the chefs,1,ML,prep_inanim_all
The paintings by the architects,1,ML,prep_inanim_all
The paintings by the skaters,1,ML,prep_inanim_all
The paintings by the dancers,1,ML,prep_inanim_all
The paintings by the ministers,1,ML,prep_inanim_all
