sentence,label,group,source
The author that likes the guard,0,ML,subj_rel_all
The author that likes the chef,0,ML,subj_rel_all
The author that likes the architect,0,ML,subj_rel_all
The author that likes the skater,0,ML,subj_rel_all
The author that likes the dancer,0,ML,subj_rel_all
The author that likes the minister,0,ML,subj_rel_all
The author that likes the taxi driver,0,ML,subj_rel_all
The author that likes the assistant,0,ML,subj_rel_all
The author that likes the executive,0,ML,subj_rel_all
The author that likes the parent,0,ML,subj_rel_all
The author that admires the guard,0,ML,subj_rel_all
The author that admires the chef,0,ML,subj_rel_all
The author that admires the architect,0,ML,subj_rel_all
The author that admires the skater,0,ML,subj_rel_all
The author that admires the dancer,0,ML,subj_rel_all
The author that admires the minister,0,ML,subj_rel_all
The author that admires the taxi driver,0,ML,subj_rel_all
The author that admires the assistant,0,ML,subj_rel_all
The author that admires the executive,0,ML,subj_rel_all
The author that admires the parent,0,ML,subj_rel_all
The author that hates the guard,0,ML,subj_rel_all
The author that hates the chef,0,ML,subj_rel_all
The author that hates the architect,0,ML,subj_rel_all
The author that hates the skater,0,ML,subj_rel_all
The author that hates the dancer,0,ML,subj_rel_all
The author that hates the minister,0,ML,subj_rel_all
The author that hates the taxi driver,0,ML,subj_rel_all
The author that hates the assistant,0,ML,subj_rel_all
The author that hates the executive,0,ML,subj_rel_all
The author that hates the parent,0,ML,subj_rel_all
The author that loves the guard,0,ML,subj_rel_all
The author that loves the chef,0,ML,subj_rel_all
The author that loves the architect,0,ML,subj_rel_all
The author that loves the skater,0,ML,subj_rel_all
The author that loves the dancer,0,ML,subj_rel_all
The author that loves the minister,0,ML,subj_rel_all
The author that loves the taxi driver,0,ML,subj_rel_all
The author that loves the assistant,0,ML,subj_rel_all
The author that loves the executive,0,ML,subj_rel_all
The author that loves the parent,0,ML,subj_rel_all
The pilot that likes the guard,0,ML,subj_rel_all
The pilot that likes the chef,0,ML,subj_rel_all
The pilot that likes the architect,0,ML,subj_rel_all
The pilot that likes the skater,0,ML,subj_rel_all
The pilot that likes the dancer,0,ML,subj_rel_all
The pilot that likes the minister,0,ML,subj_rel_all
The pilot that likes the taxi driver,0,ML,subj_rel_all
The pilot that likes the assistant,0,ML,subj_rel_all
The pilot that likes the executive,0,ML,subj_rel_all
The pilot that likes the parent,0,ML,subj_rel_all
The pilot that admires the guard,0,ML,subj_rel_all
The pilot that admires the chef,0,ML,subj_rel_all
The pilot that admires the architect,0,ML,subj_rel_all
The pilot that admires the skater,0,ML,subj_rel_all
The pilot that admires the dancer,0,ML,subj_rel_all
The pilot that admires the minister,0,ML,subj_rel_all
The pilot that admires the taxi driver,0,ML,subj_rel_all
The pilot that admires the assistant,0,ML,subj_rel_all
The pilot that admires the executive,0,ML,subj_rel_all
The pilot that admires the parent,0,ML,subj_rel_all
The pilot that hates the guard,0,ML,subj_rel_all
The pilot that hates the chef,0,ML,subj_rel_all
The pilot that hates the architect,0,ML,subj_rel_all
The pilot that hates the skater,0,ML,subj_rel_all
The pilot that hates the dancer,0,ML,subj_rel_all
The pilot that hates the minister,0,ML,subj_rel_all
The pilot that hates the taxi driver,0,ML,subj_rel_all
The pilot that hates the assistant,0,ML,subj_rel_all
The pilot that hates the executive,0,ML,subj_rel_all
The pilot that hates the parent,0,ML,subj_rel_all
The pilot that loves the guard,0,ML,subj_rel_all
The pilot that loves the chef,0,ML,subj_rel_all
The pilot that loves the architect,0,ML,subj_rel_all
The pilot that loves the skater,0,ML,subj_rel_all
The pilot that loves the dancer,0,ML,subj_rel_all
The pilot that loves the minister,0,ML,subj_rel_all
The pilot that loves the taxi driver,0,ML,subj_rel_all
The pilot that loves the assistant,0,ML,subj_rel_all
The pilot that loves the executive,0,ML,subj_rel_all
The pilot that loves the parent,0,ML,subj_rel_all
The surgeon that likes the guard,0,ML,subj_rel_all
The surgeon that likes the chef,0,ML,subj_rel_all
The surgeon that likes the architect,0,ML,subj_rel_all
The surgeon that likes the skater,0,ML,subj_rel_all
The surgeon that likes the dancer,0,ML,subj_rel_all
The surgeon that likes the minister,0,ML,subj_rel_all
The surgeon that likes the taxi driver,0,ML,subj_rel_all
The surgeon that likes the assistant,0,ML,subj_rel_all
The surgeon that likes the executive,0,ML,subj_rel_all
The surgeon that likes the parent,0,ML,subj_rel_all
The surgeon that admires the guard,0,ML,subj_rel_all
The surgeon that admires the chef,0,ML,subj_rel_all
The surgeon that admires the architect,0,ML,subj_rel_all
The surgeon that admires the skater,0,ML,subj_rel_all
The surgeon that admires the dancer,0,ML,subj_rel_all
The surgeon that admires the minister,0,ML,subj_rel_all
The surgeon that admires the taxi driver,0,ML,subj_rel_all
The surgeon that admires the assistant,0,ML,subj_rel_all
The surgeon that admires the executive,0,ML,subj_rel_all
The surgeon that admires the parent,0,ML,subj_rel_all
The surgeon that hates the guard,0,ML,subj_rel_all
The surgeon that hates the chef,0,ML,subj_rel_all
The surgeon that hates the architect,0,ML,subj_rel_all
The surgeon that hates the skater,0,ML,subj_rel_all
The surgeon that hates the dancer,0,ML,subj_rel_all
The surgeon that hates the minister,0,ML,subj_rel_all
The surgeon that hates the taxi driver,0,ML,subj_rel_all
The surgeon that hates the assistant,0,ML,subj_rel_all
The surgeon that hates the executive,0,ML,subj_rel_all
The surgeon that hates the parent,0,ML,subj_rel_all
The surgeon that loves the guard,0,ML,subj_rel_all
The surgeon that loves the chef,0,ML,subj_rel_all
The surgeon that loves the architect,0,ML,subj_rel_all
The surgeon that loves the skater,0,ML,subj_rel_all
The surgeon that loves the dancer,0,ML,subj_rel_all
The surgeon that loves the minister,0,ML,subj_rel_all
The surgeon that loves the taxi driver,0,ML,subj_rel_all
The surgeon that loves the assistant,0,ML,subj_rel_all
The surgeon that loves the executive,0,ML,subj_rel_all
The surgeon that loves the parent,0,ML,subj_rel_all
The farmer that likes the guard,0,ML,subj_rel_all
The farmer that likes the chef,0,ML,subj_rel_all
The farmer that likes the architect,0,ML,subj_rel_all
The farmer that likes the skater,0,ML,subj_rel_all
The farmer that likes the dancer,0,ML,subj_rel_all
The farmer that likes the minister,0,ML,subj_rel_all
The farmer that likes the taxi driver,0,ML,subj_rel_all
The farmer that likes the assistant,0,ML,subj_rel_all
The farmer that likes the executive,0,ML,subj_rel_all
The farmer that likes the parent,0,ML,subj_rel_all
The farmer that admires the guard,0,ML,subj_rel_all
The farmer that admires the chef,0,ML,subj_rel_all
The farmer that admires the architect,0,ML,subj_rel_all
The farmer that admires the skater,0,ML,subj_rel_all
The farmer that admires the dancer,0,ML,subj_rel_all
The farmer that admires the minister,0,ML,subj_rel_all
The farmer that admires the taxi driver,0,ML,subj_rel_all
The farmer that admires the assistant,0,ML,subj_rel_all
The farmer that admires the executive,0,ML,subj_rel_all
The farmer that admires the parent,0,ML,subj_rel_all
The farmer that hates the guard,0,ML,subj_rel_all
The farmer that hates the chef,0,ML,subj_rel_all
The farmer that hates the architect,0,ML,subj_rel_all
The farmer that hates the skater,0,ML,subj_rel_all
The farmer that hates the dancer,0,ML,subj_rel_all
The farmer that hates the minister,0,ML,subj_rel_all
The farmer that hates the taxi driver,0,ML,subj_rel_all
The farmer that hates the assistant,0,ML,subj_rel_all
The farmer that hates the executive,0,ML,subj_rel_all
The farmer that hates the parent,0,ML,subj_rel_all
The farmer that loves the guard,0,ML,subj_rel_all
The farmer that loves the chef,0,ML,subj_rel_all
The farmer that loves the architect,0,ML,subj_rel_all
The farmer that loves the skater,0,ML,subj_rel_all
The farmer that loves the dancer,0,ML,subj_rel_all
The farmer that loves the minister,0,ML,subj_rel_all
The farmer that loves the taxi driver,0,ML,subj_rel_all
The farmer that loves the assistant,0,ML,subj_rel_all
The farmer that loves the executive,0,ML,subj_rel_all
The farmer that loves the parent,0,ML,subj_rel_all
The manager that likes the guard,0,ML,subj_rel_all
The manager that likes the chef,0,ML,subj_rel_all
The manager that likes the architect,0,ML,subj_rel_all
The manager that likes the skater,0,ML,subj_rel_all
The manager that likes the dancer,0,ML,subj_rel_all
The manager that likes the minister,0,ML,subj_rel_all
The manager that likes the taxi driver,0,ML,subj_rel_all
The manager that likes the assistant,0,ML,subj_rel_all
The manager that likes the executive,0,ML,subj_rel_all
The manager that likes the parent,0,ML,subj_rel_all
The manager that admires the guard,0,ML,subj_rel_all
The manager that admires the chef,0,ML,subj_rel_all
The manager that admires the architect,0,ML,subj_rel_all
The manager that admires the skater,0,ML,subj_rel_all
The manager that admires the dancer,0,ML,subj_rel_all
The manager that admires the minister,0,ML,subj_rel_all
The manager that admires the taxi driver,0,ML,subj_rel_all
The manager that admires the assistant,0,ML,subj_rel_all
The manager that admires the executive,0,ML,subj_rel_all
The manager that admires the parent,0,ML,subj_rel_all
The manager that hates the guard,0,ML,subj_rel_all
The manager that hates the chef,0,ML,subj_rel_all
The manager that hates the architect,0,ML,subj_rel_all
The manager that hates the skater,0,ML,subj_rel_all
The manager that hates the dancer,0,ML,subj_rel_all
The manager that hates the minister,0,ML,subj_rel_all
The manager that hates the taxi driver,0,ML,subj_rel_all
The manager that hates the assistant,0,ML,subj_rel_all
The manager that hates the executive,0,ML,subj_rel_all
The manager that hates the parent,0,ML,subj_rel_all
The manager that loves the guard,0,ML,subj_rel_all
The manager that loves the chef,0,ML,subj_rel_all
The manager that loves the architect,0,ML,subj_rel_all
The manager that loves the skater,0,ML,subj_rel_all
The manager that loves the dancer,0,ML,subj_rel_all
The manager that loves the minister,0,ML,subj_rel_all
The manager that loves the taxi driver,0,ML,subj_rel_all
The manager that loves the assistant,0,ML,subj_rel_all
The manager that loves the executive,0,ML,subj_rel_all
The manager that loves the parent,0,ML,subj_rel_all
The customer that likes the guard,0,ML,subj_rel_all
The customer that likes the chef,0,ML,subj_rel_all
The customer that likes the architect,0,ML,subj_rel_all
The customer that likes the skater,0,ML,subj_rel_all
The customer that likes the dancer,0,ML,subj_rel_all
The customer that likes the minister,0,ML,subj_rel_all
The customer that likes the taxi driver,0,ML,subj_rel_all
The customer that likes the assistant,0,ML,subj_rel_all
The customer that likes the executive,0,ML,subj_rel_all
The customer that likes the parent,0,ML,subj_rel_all
The customer that admires the guard,0,ML,subj_rel_all
The customer that admires the chef,0,ML,subj_rel_all
The customer that admires the architect,0,ML,subj_rel_all
The customer that admires the skater,0,ML,subj_rel_all
The customer that admires the dancer,0,ML,subj_rel_all
The customer that admires the minister,0,ML,subj_rel_all
The customer that admires the taxi driver,0,ML,subj_rel_all
The customer that admires the assistant,0,ML,subj_rel_all
The customer that admires the executive,0,ML,subj_rel_all
The customer that admires the parent,0,ML,subj_rel_all
The customer that hates the guard,0,ML,subj_rel_all
The customer that hates the chef,0,ML,subj_rel_all
The customer that hates the architect,0,ML,subj_rel_all
The customer that hates the skater,0,ML,subj_rel_all
The customer that hates the dancer,0,ML,subj_rel_all
The customer that hates the minister,0,ML,subj_rel_all
The customer that hates the taxi driver,0,ML,subj_rel_all
The customer that hates the assistant,0,ML,subj_rel_all
The customer that hates the executive,0,ML,subj_rel_all
The customer that hates the parent,0,ML,subj_rel_all
The customer that loves the guard,0,ML,subj_rel_all
The customer that loves the chef,0,ML,subj_rel_all
The customer that loves the architect,0,ML,subj_rel_all
The customer that loves the skater,0,ML,subj_rel_all
The customer that loves the dancer,0,ML,subj_rel_all
The customer that loves the minister,0,ML,subj_rel_all
The customer that loves the taxi driver,0,ML,subj_rel_all
The customer that loves the assistant,0,ML,subj_rel_all
The customer that loves the executive,0,ML,subj_rel_all
The customer that loves the parent,0,ML,subj_rel_all
The officer that likes the guard,0,ML,subj_rel_all
The officer that likes the chef,0,ML,subj_rel_all
The officer that likes the architect,0,ML,subj_rel_all
The officer that likes the skater,0,ML,subj_rel_all
The officer that likes the dancer,0,ML,subj_rel_all
The officer that likes the minister,0,ML,subj_rel_all
The officer that likes the taxi driver,0,ML,subj_rel_all
The officer that likes the assistant,0,ML,subj_rel_all
The officer that likes the executive,0,ML,subj_rel_all
The officer that likes the parent,0,ML,subj_rel_all
The officer that admires the guard,0,ML,subj_rel_all
The officer that admires the chef,0,ML,subj_rel_all
The officer that admires the architect,0,ML,subj_rel_all
The officer that admires the skater,0,ML,subj_rel_all
The officer that admires the dancer,0,ML,subj_rel_all
The officer that admires the minister,0,ML,subj_rel_all
The officer that admires the taxi driver,0,ML,subj_rel_all
The officer that admires the assistant,0,ML,subj_rel_all
The officer that admires the executive,0,ML,subj_rel_all
The officer that admires the parent,0,ML,subj_rel_all
The officer that hates the guard,0,ML,subj_rel_all
The officer that hates the chef,0,ML,subj_rel_all
The officer that hates the architect,0,ML,subj_rel_all
The officer that hates the skater,0,ML,subj_rel_all
The officer that hates the dancer,0,ML,subj_rel_all
The officer that hates the minister,0,ML,subj_rel_all
The officer that hates the taxi driver,0,ML,subj_rel_all
The officer that hates the assistant,0,ML,subj_rel_all
The officer that hates the executive,0,ML,subj_rel_all
The officer that hates the parent,0,ML,subj_rel_all
The officer that loves the guard,0,ML,subj_rel_all
The officer that loves the chef,0,ML,subj_rel_all
The officer that loves the architect,0,ML,subj_rel_all
The officer that loves the skater,0,ML,subj_rel_all
The officer that loves the dancer,0,ML,subj_rel_all
