sentence,label,group,source
Paula,0,blimp,regular_plural_subject_verb_agreement_1
Most legislatures,1,blimp,regular_plural_subject_verb_agreement_1
Some organizations,1,blimp,regular_plural_subject_verb_agreement_1
The cups,1,blimp,regular_plural_subject_verb_agreement_1
Tina,0,blimp,regular_plural_subject_verb_agreement_1
The Borgias,1,blimp,regular_plural_subject_verb_agreement_1
Jeffrey,0,blimp,regular_plural_subject_verb_agreement_1
Michelle,0,blimp,regular_plural_subject_verb_agreement_1
Meredith,0,blimp,regular_plural_subject_verb_agreement_1
Walter,0,blimp,regular_plural_subject_verb_agreement_1
Randolf,0,blimp,regular_plural_subject_verb_agreement_1
Winston Churchill,0,blimp,regular_plural_subject_verb_agreement_1
All mirrors,1,blimp,regular_plural_subject_verb_agreement_1
A spotlight,0,blimp,regular_plural_subject_verb_agreement_1
Carl,0,blimp,regular_plural_subject_verb_agreement_1
Bethany,0,blimp,regular_plural_subject_verb_agreement_1
Some eggplant,0,blimp,regular_plural_subject_verb_agreement_1
Katherine,0,blimp,regular_plural_subject_verb_agreement_1
These dancers,1,blimp,regular_plural_subject_verb_agreement_1
Those rugs,1,blimp,regular_plural_subject_verb_agreement_1
Most glasses,1,blimp,regular_plural_subject_verb_agreement_1
A lot of dancers,1,blimp,regular_plural_subject_verb_agreement_1
Margaret,0,blimp,regular_plural_subject_verb_agreement_1
These casseroles,1,blimp,regular_plural_subject_verb_agreement_1
Some legislature,0,blimp,regular_plural_subject_verb_agreement_1
A lot of computers,1,blimp,regular_plural_subject_verb_agreement_1
Those dogs,1,blimp,regular_plural_subject_verb_agreement_1
Lissa,0,blimp,regular_plural_subject_verb_agreement_1
Erin,0,blimp,regular_plural_subject_verb_agreement_1
All pedestrians,1,blimp,regular_plural_subject_verb_agreement_1
Most actresses,1,blimp,regular_plural_subject_verb_agreement_1
That teacher,0,blimp,regular_plural_subject_verb_agreement_1
That library,0,blimp,regular_plural_subject_verb_agreement_1
Schools,1,blimp,regular_plural_subject_verb_agreement_1
The guest,0,blimp,regular_plural_subject_verb_agreement_1
A cake,0,blimp,regular_plural_subject_verb_agreement_1
All hospitals,1,blimp,regular_plural_subject_verb_agreement_1
Galileo,0,blimp,regular_plural_subject_verb_agreement_1
Some movies,1,blimp,regular_plural_subject_verb_agreement_1
The pedestrian,0,blimp,regular_plural_subject_verb_agreement_1
The pedestrians,1,blimp,regular_plural_subject_verb_agreement_1
Most associations,1,blimp,regular_plural_subject_verb_agreement_1
Suzanne,0,blimp,regular_plural_subject_verb_agreement_1
That customer,0,blimp,regular_plural_subject_verb_agreement_1
Most girls,1,blimp,regular_plural_subject_verb_agreement_1
The ladies,1,blimp,regular_plural_subject_verb_agreement_1
Gary,0,blimp,regular_plural_subject_verb_agreement_1
Heidi,0,blimp,regular_plural_subject_verb_agreement_1
A lot of doctors,1,blimp,regular_plural_subject_verb_agreement_1
Linda,0,blimp,regular_plural_subject_verb_agreement_1
Carol,0,blimp,regular_plural_subject_verb_agreement_1
The Impressionists,1,blimp,regular_plural_subject_verb_agreement_1
These cafes,1,blimp,regular_plural_subject_verb_agreement_1
Kimberley,0,blimp,regular_plural_subject_verb_agreement_1
Bradley,0,blimp,regular_plural_subject_verb_agreement_1
The committee,0,blimp,regular_plural_subject_verb_agreement_1
Liam,0,blimp,regular_plural_subject_verb_agreement_1
All museums,1,blimp,regular_plural_subject_verb_agreement_1
Victoria,0,blimp,regular_plural_subject_verb_agreement_1
A lot of ladies,1,blimp,regular_plural_subject_verb_agreement_1
Some guy,0,blimp,regular_plural_subject_verb_agreement_1
Guy,0,blimp,regular_plural_subject_verb_agreement_1
George,0,blimp,regular_plural_subject_verb_agreement_1
Emily,0,blimp,regular_plural_subject_verb_agreement_1
Tracy,0,blimp,regular_plural_subject_verb_agreement_1
Diana,0,blimp,regular_plural_subject_verb_agreement_1
This pedestrian,0,blimp,regular_plural_subject_verb_agreement_1
Some actors,1,blimp,regular_plural_subject_verb_agreement_1
Many dogs,1,blimp,regular_plural_subject_verb_agreement_1
Eric,0,blimp,regular_plural_subject_verb_agreement_1
Tiffany,0,blimp,regular_plural_subject_verb_agreement_1
Clyde,0,blimp,regular_plural_subject_verb_agreement_1
Dana,0,blimp,regular_plural_subject_verb_agreement_1
Theodore,0,blimp,regular_plural_subject_verb_agreement_1
Some actresses,1,blimp,regular_plural_subject_verb_agreement_1
These actors,1,blimp,regular_plural_subject_verb_agreement_1
A lot of adults,1,blimp,regular_plural_subject_verb_agreement_1
Pamela,0,blimp,regular_plural_subject_verb_agreement_1
Dan,0,blimp,regular_plural_subject_verb_agreement_1
Anna,0,blimp,regular_plural_subject_verb_agreement_1
The government,0,blimp,regular_plural_subject_verb_agreement_1
Donald,0,blimp,regular_plural_subject_verb_agreement_1
Carrie,0,blimp,regular_plural_subject_verb_agreement_1
Russell,0,blimp,regular_plural_subject_verb_agreement_1
Sheila,0,blimp,regular_plural_subject_verb_agreement_1
Some senators,1,blimp,regular_plural_subject_verb_agreement_1
These pedestrians,1,blimp,regular_plural_subject_verb_agreement_1
Amy,0,blimp,regular_plural_subject_verb_agreement_1
The Clintons,1,blimp,regular_plural_subject_verb_agreement_1
April,0,blimp,regular_plural_subject_verb_agreement_1
Some gates,1,blimp,regular_plural_subject_verb_agreement_1
Edward,0,blimp,regular_plural_subject_verb_agreement_1
Debra,0,blimp,regular_plural_subject_verb_agreement_1
That pepper,0,blimp,regular_plural_subject_verb_agreement_1
The banks,1,blimp,regular_plural_subject_verb_agreement_1
Many ladies,1,blimp,regular_plural_subject_verb_agreement_1
Many documentaries,1,blimp,regular_plural_subject_verb_agreement_1
Claire,0,blimp,regular_plural_subject_verb_agreement_1
Most patients,1,blimp,regular_plural_subject_verb_agreement_1
Those drivers,0,blimp,regular_plural_subject_verb_agreement_1
Karla,0,blimp,regular_plural_subject_verb_agreement_1
Couches,1,blimp,regular_plural_subject_verb_agreement_1
Cynthia,0,blimp,regular_plural_subject_verb_agreement_1
A brochure,0,blimp,regular_plural_subject_verb_agreement_1
That carriage,0,blimp,regular_plural_subject_verb_agreement_1
Lori,0,blimp,regular_plural_subject_verb_agreement_1
Kathleen,0,blimp,regular_plural_subject_verb_agreement_1
Angela,0,blimp,regular_plural_subject_verb_agreement_1
The Lutherans,1,blimp,regular_plural_subject_verb_agreement_1
Steven,0,blimp,regular_plural_subject_verb_agreement_1
Most eyes,1,blimp,regular_plural_subject_verb_agreement_1
That drawing,0,blimp,regular_plural_subject_verb_agreement_1
Customers,1,blimp,regular_plural_subject_verb_agreement_1
Elizabeth,0,blimp,regular_plural_subject_verb_agreement_1
All teenagers,1,blimp,regular_plural_subject_verb_agreement_1
These newspaper articles,1,blimp,regular_plural_subject_verb_agreement_1
Samuel,0,blimp,regular_plural_subject_verb_agreement_1
Alicia,0,blimp,regular_plural_subject_verb_agreement_1
Tonya,0,blimp,regular_plural_subject_verb_agreement_1
Many patients,1,blimp,regular_plural_subject_verb_agreement_1
Some car,0,blimp,regular_plural_subject_verb_agreement_1
Jennifer,0,blimp,regular_plural_subject_verb_agreement_1
Those guests,1,blimp,regular_plural_subject_verb_agreement_1
Judy,0,blimp,regular_plural_subject_verb_agreement_1
Every teacher,0,blimp,regular_plural_subject_verb_agreement_1
Stacy,0,blimp,regular_plural_subject_verb_agreement_1
Many teenagers,1,blimp,regular_plural_subject_verb_agreement_1
Sara,0,blimp,regular_plural_subject_verb_agreement_1
Homer,0,blimp,regular_plural_subject_verb_agreement_1
Rachelle,0,blimp,regular_plural_subject_verb_agreement_1
Those actresses,1,blimp,regular_plural_subject_verb_agreement_1
Dancers,1,blimp,regular_plural_subject_verb_agreement_1
This cashier,0,blimp,regular_plural_subject_verb_agreement_1
Gregory,0,blimp,regular_plural_subject_verb_agreement_1
Andrew,0,blimp,regular_plural_subject_verb_agreement_1
Adam,0,blimp,regular_plural_subject_verb_agreement_1
Martha,0,blimp,regular_plural_subject_verb_agreement_1
Jessica,0,blimp,regular_plural_subject_verb_agreement_1
Chad,0,blimp,regular_plural_subject_verb_agreement_1
Christopher,0,blimp,regular_plural_subject_verb_agreement_1
Deanna,0,blimp,regular_plural_subject_verb_agreement_1
Some teenagers,1,blimp,regular_plural_subject_verb_agreement_1
Denise,0,blimp,regular_plural_subject_verb_agreement_1
Christina,0,blimp,regular_plural_subject_verb_agreement_1
These horses,1,blimp,regular_plural_subject_verb_agreement_1
This association,0,blimp,regular_plural_subject_verb_agreement_1
Regina,0,blimp,regular_plural_subject_verb_agreement_1
Barbara,0,blimp,regular_plural_subject_verb_agreement_1
David,0,blimp,regular_plural_subject_verb_agreement_1
Every bank,0,blimp,regular_plural_subject_verb_agreement_1
Lawrence,0,blimp,regular_plural_subject_verb_agreement_1
All waitresses,0,blimp,regular_plural_subject_verb_agreement_1
Kayla,0,blimp,regular_plural_subject_verb_agreement_1
The children,1,blimp,regular_plural_subject_verb_agreement_1
These waiters,1,blimp,regular_plural_subject_verb_agreement_1
All drivers,1,blimp,regular_plural_subject_verb_agreement_1
Every closet,0,blimp,regular_plural_subject_verb_agreement_1
That actor,0,blimp,regular_plural_subject_verb_agreement_1
Mark,0,blimp,regular_plural_subject_verb_agreement_1
Many teachers,1,blimp,regular_plural_subject_verb_agreement_1
Some school,0,blimp,regular_plural_subject_verb_agreement_1
Caroline,0,blimp,regular_plural_subject_verb_agreement_1
A lot of documentaries,1,blimp,regular_plural_subject_verb_agreement_1
Grace,0,blimp,regular_plural_subject_verb_agreement_1
Some companies,1,blimp,regular_plural_subject_verb_agreement_1
This waitress,0,blimp,regular_plural_subject_verb_agreement_1
Deborah,0,blimp,regular_plural_subject_verb_agreement_1
