edges,EAP_node_precision,EAP_node_recall,EAP_edge_precision,EAP_edge_recall,EAP-IG_node_precision,EAP-IG_node_recall,EAP-IG_edge_precision,EAP-IG_edge_recall
1,1.0,0.05263157894736842,1.0,0.004166666666666667,1.0,0.05263157894736842,1.0,0.004166666666666667
2,1.0,0.10526315789473684,1.0,0.008333333333333333,1.0,0.10526315789473684,1.0,0.008333333333333333
3,1.0,0.15789473684210525,1.0,0.0125,1.0,0.15789473684210525,1.0,0.0125
4,1.0,0.15789473684210525,1.0,0.016666666666666666,1.0,0.15789473684210525,1.0,0.016666666666666666
5,1.0,0.21052631578947367,1.0,0.020833333333333332,1.0,0.21052631578947367,1.0,0.020833333333333332
6,1.0,0.2631578947368421,1.0,0.025,1.0,0.2631578947368421,1.0,0.025
7,1.0,0.3157894736842105,1.0,0.029166666666666667,1.0,0.3157894736842105,1.0,0.029166666666666667
8,1.0,0.3684210526315789,1.0,0.03333333333333333,1.0,0.3684210526315789,1.0,0.03333333333333333
9,1.0,0.3684210526315789,1.0,0.0375,1.0,0.42105263157894735,1.0,0.0375
10,1.0,0.3684210526315789,1.0,0.041666666666666664,1.0,0.42105263157894735,1.0,0.041666666666666664
11,1.0,0.42105263157894735,1.0,0.04583333333333333,1.0,0.47368421052631576,1.0,0.04583333333333333
12,1.0,0.42105263157894735,1.0,0.05,1.0,0.5263157894736842,1.0,0.05
13,1.0,0.42105263157894735,1.0,0.05416666666666667,1.0,0.5263157894736842,1.0,0.05416666666666667
14,1.0,0.42105263157894735,1.0,0.058333333333333334,1.0,0.5263157894736842,1.0,0.058333333333333334
15,1.0,0.47368421052631576,1.0,0.0625,1.0,0.5263157894736842,1.0,0.0625
16,1.0,0.47368421052631576,1.0,0.06666666666666667,1.0,0.5263157894736842,1.0,0.06666666666666667
17,1.0,0.47368421052631576,1.0,0.07083333333333333,1.0,0.5263157894736842,1.0,0.07083333333333333
18,1.0,0.5263157894736842,1.0,0.075,1.0,0.5789473684210527,1.0,0.075
19,1.0,0.5789473684210527,1.0,0.07916666666666666,1.0,0.5789473684210527,1.0,0.07916666666666666
20,1.0,0.5789473684210527,1.0,0.08333333333333333,1.0,0.631578947368421,1.0,0.08333333333333333
21,0.9166666666666666,0.5789473684210527,0.9523809523809523,0.08333333333333333,0.9230769230769231,0.631578947368421,0.9523809523809523,0.08333333333333333
22,0.9166666666666666,0.5789473684210527,0.9545454545454546,0.0875,0.9230769230769231,0.631578947368421,0.9545454545454546,0.0875
23,0.9230769230769231,0.631578947368421,0.9565217391304348,0.09166666666666666,0.9285714285714286,0.6842105263157895,0.9565217391304348,0.09166666666666666
24,0.8571428571428571,0.631578947368421,0.9166666666666666,0.09166666666666666,0.9285714285714286,0.6842105263157895,0.9583333333333334,0.09583333333333334
25,0.8571428571428571,0.631578947368421,0.92,0.09583333333333334,0.9285714285714286,0.6842105263157895,0.96,0.1
26,0.8571428571428571,0.631578947368421,0.9230769230769231,0.1,0.9285714285714286,0.6842105263157895,0.9615384615384616,0.10416666666666667
27,0.8571428571428571,0.631578947368421,0.9259259259259259,0.10416666666666667,0.8666666666666667,0.6842105263157895,0.9259259259259259,0.10416666666666667
28,0.8571428571428571,0.631578947368421,0.9285714285714286,0.10833333333333334,0.875,0.7368421052631579,0.9285714285714286,0.10833333333333334
29,0.8571428571428571,0.631578947368421,0.9310344827586207,0.1125,0.8823529411764706,0.7894736842105263,0.9310344827586207,0.1125
