edges,EAP_node_precision,EAP_node_recall,EAP_edge_precision,EAP_edge_recall,EAP-IG_node_precision,EAP-IG_node_recall,EAP-IG_edge_precision,EAP-IG_edge_recall
1,1.0,0.038461538461538464,1.0,0.004651162790697674,1.0,0.038461538461538464,1.0,0.004651162790697674
2,1.0,0.07692307692307693,1.0,0.009302325581395349,1.0,0.07692307692307693,1.0,0.009302325581395349
3,1.0,0.11538461538461539,1.0,0.013953488372093023,1.0,0.07692307692307693,1.0,0.009302325581395349
4,1.0,0.15384615384615385,1.0,0.018604651162790697,1.0,0.11538461538461539,1.0,0.013953488372093023
5,1.0,0.19230769230769232,1.0,0.023255813953488372,1.0,0.15384615384615385,1.0,0.018604651162790697
6,1.0,0.2692307692307692,1.0,0.027906976744186046,1.0,0.15384615384615385,0.8,0.018604651162790697
7,1.0,0.2692307692307692,0.8571428571428571,0.027906976744186046,1.0,0.15384615384615385,0.6666666666666666,0.018604651162790697
8,1.0,0.3076923076923077,0.8571428571428571,0.027906976744186046,1.0,0.19230769230769232,0.7142857142857143,0.023255813953488372
9,1.0,0.3076923076923077,0.8571428571428571,0.027906976744186046,1.0,0.19230769230769232,0.625,0.023255813953488372
10,1.0,0.3076923076923077,0.75,0.027906976744186046,1.0,0.23076923076923078,0.6666666666666666,0.027906976744186046
11,1.0,0.3076923076923077,0.7777777777777778,0.03255813953488372,1.0,0.2692307692307692,0.7,0.03255813953488372
12,1.0,0.34615384615384615,0.8,0.037209302325581395,1.0,0.34615384615384615,0.7272727272727273,0.037209302325581395
13,1.0,0.34615384615384615,0.8,0.037209302325581395,1.0,0.38461538461538464,0.75,0.04186046511627907
14,1.0,0.34615384615384615,0.7272727272727273,0.037209302325581395,1.0,0.4230769230769231,0.75,0.04186046511627907
15,1.0,0.34615384615384615,0.7272727272727273,0.037209302325581395,1.0,0.4230769230769231,0.75,0.04186046511627907
16,1.0,0.38461538461538464,0.7272727272727273,0.037209302325581395,1.0,0.4230769230769231,0.6923076923076923,0.04186046511627907
17,1.0,0.4230769230769231,0.75,0.04186046511627907,1.0,0.4230769230769231,0.6428571428571429,0.04186046511627907
18,1.0,0.4230769230769231,0.7692307692307693,0.046511627906976744,1.0,0.46153846153846156,0.6666666666666666,0.046511627906976744
19,1.0,0.4230769230769231,0.7692307692307693,0.046511627906976744,1.0,0.46153846153846156,0.625,0.046511627906976744
20,1.0,0.4230769230769231,0.7857142857142857,0.05116279069767442,1.0,0.46153846153846156,0.6470588235294118,0.05116279069767442
21,1.0,0.46153846153846156,0.8,0.05581395348837209,1.0,0.46153846153846156,0.6666666666666666,0.05581395348837209
22,1.0,0.46153846153846156,0.8,0.05581395348837209,1.0,0.46153846153846156,0.6666666666666666,0.05581395348837209
