baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP-IG-JS,loss_EAP-IG-JS
11.1947021484375,-11.382732391357422,30,0,-11.382732391357422,0,-11.382732391357422,0,-11.382732391357422,0,-11.382732391357422
11.1947021484375,-11.382732391357422,40,0,-11.382732391357422,0,-11.382732391357422,0,-11.382732391357422,3,-11.1936616897583
11.1947021484375,-11.382732391357422,50,0,-11.382732391357422,3,-11.1936616897583,3,-11.1936616897583,5,-11.208159446716309
11.1947021484375,-11.382732391357422,60,3,-11.1936616897583,5,-11.040809631347656,5,-11.040809631347656,7,-11.225582122802734
11.1947021484375,-11.382732391357422,70,7,-11.055245399475098,9,-10.786385536193848,9,-10.786385536193848,11,-11.098670959472656
11.1947021484375,-11.382732391357422,80,9,-11.072572708129883,16,-10.746543884277344,20,-10.635790824890137,15,-11.000633239746094
11.1947021484375,-11.382732391357422,90,15,-10.994651794433594,26,-10.378583908081055,25,-10.46066665649414,25,-10.813587188720703
11.1947021484375,-11.382732391357422,100,21,-10.971142768859863,36,-10.264120101928711,36,-10.36462116241455,29,-10.698375701904297
11.1947021484375,-11.382732391357422,200,80,-10.310768127441406,101,-9.910545349121094,108,-10.039999008178711,85,-10.169748306274414
11.1947021484375,-11.382732391357422,300,150,-10.186030387878418,182,-9.611114501953125,193,-9.692354202270508,159,-10.032979011535645
11.1947021484375,-11.382732391357422,400,234,-9.919852256774902,278,-9.353178024291992,286,-9.329803466796875,253,-9.74309253692627
11.1947021484375,-11.382732391357422,500,339,-9.656563758850098,376,-9.092007637023926,383,-8.995325088500977,344,-9.661248207092285
11.1947021484375,-11.382732391357422,600,436,-9.534021377563477,464,-8.835564613342285,472,-8.77384090423584,437,-9.409745216369629
11.1947021484375,-11.382732391357422,700,530,-9.415634155273438,567,-8.551159858703613,558,-8.381958961486816,528,-9.09006118774414
11.1947021484375,-11.382732391357422,800,618,-9.264532089233398,655,-8.10265827178955,663,-8.146807670593262,619,-8.8973388671875
11.1947021484375,-11.382732391357422,900,709,-9.047224044799805,745,-7.763078212738037,753,-7.671882629394531,710,-8.605515480041504
11.1947021484375,-11.382732391357422,1000,793,-8.85860824584961,836,-7.208852767944336,852,-7.214608669281006,811,-8.192712783813477
