baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP-IG-JS,loss_EAP-IG-JS
0.8362303972244263,-3.7391176223754883,30,3,-3.68192195892334,7,-3.623913288116455,5,-3.6944193840026855,0,-3.7391176223754883
0.8362303972244263,-3.7391176223754883,40,9,-3.6406805515289307,19,-3.548470973968506,13,-3.6617908477783203,0,-3.7391176223754883
0.8362303972244263,-3.7391176223754883,50,25,-3.5236968994140625,31,-3.5399985313415527,20,-3.6591031551361084,7,-3.680304527282715
0.8362303972244263,-3.7391176223754883,60,39,-3.5049285888671875,37,-3.5257935523986816,34,-3.611274480819702,30,-3.638049364089966
0.8362303972244263,-3.7391176223754883,70,48,-3.489016056060791,47,-3.4567906856536865,43,-3.59159517288208,32,-3.64107608795166
0.8362303972244263,-3.7391176223754883,80,55,-3.414243221282959,59,-3.4349446296691895,50,-3.587298631668091,40,-3.630642890930176
0.8362303972244263,-3.7391176223754883,90,64,-3.4043314456939697,69,-3.3896000385284424,58,-3.5790610313415527,52,-3.5873193740844727
0.8362303972244263,-3.7391176223754883,100,69,-3.4017181396484375,79,-3.3888604640960693,71,-3.5525076389312744,58,-3.5958006381988525
0.8362303972244263,-3.7391176223754883,200,159,-3.187561273574829,175,-3.025142192840576,149,-3.2710814476013184,152,-3.3885958194732666
0.8362303972244263,-3.7391176223754883,300,246,-3.027587890625,264,-2.60542368888855,251,-3.0351037979125977,252,-3.0566043853759766
0.8362303972244263,-3.7391176223754883,400,333,-2.766036033630371,354,-2.276074171066284,355,-2.80222749710083,341,-2.8147428035736084
0.8362303972244263,-3.7391176223754883,500,438,-2.5201728343963623,450,-2.0716052055358887,462,-2.7267017364501953,440,-2.3880319595336914
0.8362303972244263,-3.7391176223754883,600,537,-2.3593690395355225,547,-1.8067327737808228,550,-2.439166784286499,539,-2.1602892875671387
0.8362303972244263,-3.7391176223754883,700,622,-2.0989842414855957,650,-1.4841753244400024,638,-2.282757043838501,624,-1.9911762475967407
0.8362303972244263,-3.7391176223754883,800,722,-1.8926647901535034,736,-1.2995538711547852,726,-2.09509539604187,719,-1.8532168865203857
0.8362303972244263,-3.7391176223754883,900,836,-1.6450397968292236,852,-0.9935474991798401,822,-1.8425120115280151,812,-1.6717175245285034
0.8362303972244263,-3.7391176223754883,1000,940,-1.5725882053375244,947,-0.7613728046417236,905,-1.749829649925232,904,-1.4289417266845703
