baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
3.9673779010772705,0.13802805542945862,100,2235025,17,0.2356109470129013,35,0.24363744258880615,7,0.1834588199853897
3.9673779010772705,0.13802805542945862,9030,2235025,8346,1.2140834331512451,8428,1.9240391254425049,8594,1.4169106483459473
3.9673779010772705,0.13802805542945862,17960,2235025,17055,2.0890698432922363,17154,2.499213218688965,17376,1.8705378770828247
3.9673779010772705,0.13802805542945862,26890,2235025,26006,2.7094521522521973,26023,2.6940906047821045,26350,2.125817060470581
3.9673779010772705,0.13802805542945862,35820,2235025,35052,2.971583366394043,34967,2.923992395401001,35293,2.452626943588257
3.9673779010772705,0.13802805542945862,44750,2235025,44079,3.155644178390503,43977,3.091892719268799,44216,2.8209993839263916
3.9673779010772705,0.13802805542945862,53680,2235025,53177,3.304225444793701,53078,3.217773199081421,53192,2.9562253952026367
3.9673779010772705,0.13802805542945862,62610,2235025,62208,3.389650583267212,62132,3.344249963760376,62194,3.0449914932250977
3.9673779010772705,0.13802805542945862,71540,2235025,71189,3.5051774978637695,71140,3.4267168045043945,71125,3.1182470321655273
3.9673779010772705,0.13802805542945862,80470,2235025,80196,3.547384023666382,80162,3.480794668197632,80160,3.179067373275757
3.9673779010772705,0.13802805542945862,89400,2235025,89136,3.595550537109375,89129,3.522031307220459,89170,3.2188520431518555
