baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP-IG-JS,loss_EAP-IG-JS
4.727619171142578,-4.706895351409912,30,23,-2.7115249633789062,24,-1.9110581874847412,26,-1.7917476892471313,27,-1.9146877527236938
4.727619171142578,-4.706895351409912,40,32,-2.0939550399780273,36,-1.2618201971054077,36,-1.2618201971054077,35,-1.3585702180862427
4.727619171142578,-4.706895351409912,50,42,-1.358656644821167,45,-0.2852165102958679,44,-0.17090949416160583,42,-0.6255348324775696
4.727619171142578,-4.706895351409912,60,51,-1.2698872089385986,57,0.8507976531982422,57,0.8507976531982422,53,0.017977524548768997
4.727619171142578,-4.706895351409912,70,62,-0.8786849975585938,66,1.963273048400879,67,1.9872952699661255,66,0.7506890892982483
4.727619171142578,-4.706895351409912,80,69,-0.635647714138031,73,2.4710323810577393,74,2.457350969314575,74,1.0208313465118408
4.727619171142578,-4.706895351409912,90,78,-0.24069614708423615,80,2.6027679443359375,81,2.763655185699463,85,2.097494125366211
4.727619171142578,-4.706895351409912,100,87,0.12128036469221115,89,3.1928439140319824,90,3.190187931060791,93,2.1261017322540283
4.727619171142578,-4.706895351409912,200,191,1.1552948951721191,190,3.7158102989196777,191,3.7894647121429443,187,3.7200582027435303
4.727619171142578,-4.706895351409912,300,284,1.833720088005066,290,4.371733665466309,289,4.388621807098389,288,3.596295118331909
4.727619171142578,-4.706895351409912,400,380,2.8756532669067383,380,4.6397905349731445,385,4.57469367980957,384,4.183577060699463
4.727619171142578,-4.706895351409912,500,488,3.2690625190734863,480,4.931979656219482,475,5.111212730407715,480,4.930004119873047
4.727619171142578,-4.706895351409912,600,586,2.9113380908966064,588,4.911252498626709,589,5.098721027374268,578,5.487874984741211
4.727619171142578,-4.706895351409912,700,679,2.561110734939575,684,5.281618118286133,682,5.353811264038086,685,5.2935004234313965
4.727619171142578,-4.706895351409912,800,773,2.5340988636016846,774,4.97719144821167,777,6.219152927398682,781,5.513160228729248
4.727619171142578,-4.706895351409912,900,869,2.6900174617767334,870,5.207979202270508,876,6.251699924468994,881,5.453978061676025
4.727619171142578,-4.706895351409912,1000,966,4.423932075500488,971,5.258810520172119,977,6.088250160217285,979,5.685675621032715
