baseline,corrupted_baseline,edges,edges_real,loss_real,edges_real-KL,loss_real-KL,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP,loss_EAP
0.8079,-0.4658,100,95,0.5407789945602417,99,0.5826811790466309,93,0.5703532695770264,100,0.5616284012794495,90,0.39220163226127625
0.8079,-0.4658,200,183,0.7393222451210022,188,0.7181543111801147,184,0.6458643674850464,186,0.726251482963562,184,0.6677473187446594
0.8079,-0.4658,300,283,0.7289631962776184,278,0.760620653629303,287,0.6732349991798401,287,0.7540186643600464,281,0.6975590586662292
0.8079,-0.4658,400,380,0.7537293434143066,377,0.7804425954818726,381,0.7421072125434875,379,0.730431318283081,386,0.7105820775032043
0.8079,-0.4658,500,471,0.7722091674804688,480,0.764509916305542,477,0.7846709489822388,479,0.7217235565185547,476,0.7212916016578674
0.8079,-0.4658,600,562,0.7973306179046631,578,0.7825344800949097,568,0.7849679589271545,577,0.7191896438598633,574,0.724319577217102
0.8079,-0.4658,700,658,0.7876312732696533,672,0.8024019002914429,666,0.7494864463806152,673,0.7377583384513855,676,0.7323235273361206
0.8079,-0.4658,800,760,0.8065531253814697,769,0.7927206158638,764,0.7844504117965698,770,0.739733874797821,774,0.7401275038719177
0.8079,-0.4658,900,861,0.8305408954620361,862,0.7990371584892273,862,0.7745175957679749,874,0.7497116327285767,874,0.7444754838943481
0.8079,-0.4658,1000,957,0.7961697578430176,958,0.8096330761909485,961,0.7832487225532532,973,0.7517606019973755,975,0.7419393062591553
